--target,y,,
--,,,
,,,
x1,x2,x3,y
0.739547041740053,0.312496254976371,1.12994172215702,0
0.0944212786495044,0.817089936489298,1.24646946365929,1
0.323189318693224,0.00806880856795284,0.472934559871207,0
0.570184677633011,0.289003189610348,1.17633857406493,1
0.23191176382444,0.302487364640067,0.566360102348472,0
0.322887927287088,0.779361340159164,1.47221241791349,0
0.727525845294246,0.192039554656087,1.14428832051127,0
0.818283185276427,0.192256954864944,1.11904036281138,1
0.593092595951242,0.346389119605608,1.25963101869574,0
0.566949618275216,0.318774537567321,1.01584493306924,1
0.304549401402478,0.283085635794939,0.659265579190544,1
0.201710307558984,0.701241712792692,1.05049806810279,1
0.168593523468517,0.912673516200692,1.40432097099186,0
0.416136481980417,0.544574893156897,1.31697780846482,1
0.347625466176804,0.0575137713769514,0.568848362218322,1
0.5100914648877,0.569588889554338,1.46734303488331,0
0.262535335044374,0.043213590046777,0.756808296830686,0
0.67328904682302,0.210974792681319,1.073720137587,0
0.785999094522334,0.292755419300716,1.5200618597957,0
0.12828164170067,0.907132476659708,1.0767921123028,1
0.104783455426062,0.796955427843809,1.3775005431216,1
0.176568610478558,0.91757344224102,1.40008809913213,0
0.478449662600755,0.652288116625849,1.3187619521864,0
0.0536331871129506,0.602430255815496,1.11220769888746,1
0.870517379353654,0.532541800029313,1.75571192377637,0
0.419915728897058,0.799793543398751,1.52781305732942,1
0.154645561141457,0.768674515697632,1.2407194666977,1
0.959257665452968,0.574953977810052,1.99146737791374,1
0.159134965837831,0.728941998697333,1.33052281366321,0
0.352787366801749,0.125763253558319,0.483086792464356,1
0.334008983657038,0.144726462887279,0.80653348643863,0
0.620452746103602,0.75241397552048,1.76637831886087,1
0.524013953835945,0.960004213600012,1.60409965178069,0
0.697460534806946,0.479320890677788,1.48013620448338,1
0.232250777003862,0.383419218644419,0.679161901262298,1
0.472345032194869,0.948757496742967,1.53996463595245,1
0.864392089467267,0.429358424580912,1.75875465013602,1
0.285073157112283,0.704551401471096,1.20938576009248,0
0.314764423475734,0.280256193594268,0.873197724924682,1
0.283396789684794,0.167254197789201,0.741181077756474,0
0.847316965277476,0.353302923525006,1.31617878292391,0
0.463455499251516,0.309523395134999,0.881332123216835,0
0.20559247963988,0.367251456411402,0.843604182321574,1
0.666914558202966,0.876625971435161,2.01297093713334,0
0.426234017043586,0.830482102195241,1.68913705097541,1
0.414692310925306,0.204074040811561,0.643533096743902,1
0.973665068682122,0.326850115718429,1.52478836730323,1
0.750181913918112,0.0544612135218165,1.003161457884,0
0.489610565774021,0.145707370836083,0.721890280702618,0
0.358417250433016,0.214931689194921,1.01661917824307,0
0.117868345319336,0.488408628321376,0.76080152952686,1
0.59898832176147,0.760104997398301,1.616511797848,0
0.595500127249326,0.592821423769599,1.28358532693199,1
0.0203323175347991,0.151134817922134,0.40120430246612,0
0.0724589161825553,0.925570969734953,1.17871845379989,0
0.0532356751673591,0.214611056157033,0.59201755626204,1
0.335784976451964,0.702644595485427,1.24506541383112,1
0.473485434110169,0.743101273931836,1.69895207942338,0
0.172443594049031,0.83693134725735,1.23608977376257,0
0.0390733220824109,0.551062070883319,0.995943680878974,0
